emotion,text
anger,The editor changed the heading of an article that I had written.  Ã¡ He considered the heading to be derogatory towards the person I had written Ã¡ about.
sadness,A close acquaintance of the family died of lung cancer.  Ã¡ Although it was expected I still felt depressed.
joy,When I got the loan for my studies.
fear,I met intoxicated people with dubious intentions in a back alley Ã¡ one Wednesday night.
anger,On the T.V I saw a news feature on South Africa.  A policeman      Ã¡ attacked a group of black people with a whip.
sadness,The thought of having to read a boring book of 400 pages in Ã¡ English.
joy,When my sister - after a history of one abortion and one Ã¡ stillbirth - gave birth to a perfectly healty boy.
fear,When my sister had the still born child she was emotionally very Ã¡ deep down and it took her a long time to recover.
anger,We were starting a student project and the teacher we talked to Ã¡ was very negative and not very helpful.
sadness,When my boyfriend openly let me down preferring another girl.
joy,Unexpected visit by a close friend whom I hadn't seen for half a Ã¡ year.
fear,I wandered by mistake into the safety zone of a shooting range Ã¡ and was shot at.
anger,Being treated unfairly.
sadness,Breaking up with a girl.
joy,When I was accepted as a student at the college not having Ã¡ thought it possible.
fear,When I was the first to arrive at the scene after an accident Ã¡ and found that a close school friend had been killed.
anger,I was accused of having done something which I hadn't and got Ã¡ very angry.
sadness,When my grandmother died.
joy,A couple of years ago during the summer holiday I was fishing at Ã¡ a lake with my husband.  Suddenly it started raining while the Ã¡ sun was still shining. I experienced a feeling of joy happiness Ã¡ and fulfillment.  the whole nature was full of music.
fear,I was alone at home in bed reading a womens' magazine in which Ã¡ there were storiees of paranormal experiences.  My leg was Ã¡ itching and I stretched my hand to scratch and I felt another Ã¡ strange hand. (later I realized that it was the corner of the Ã¡ blanket)
anger,I went to a lecture and once again it had been cancelled this Ã¡ was the second time.  One had a negative attitude towards the Ã¡ lecturer.Ã¡
sadness,I heard that a former superior of mine had died I was later at Ã¡ home home reading about it in the newspaper and I thought of our Ã¡ interaction and how it was no longer possible.  The limited scope Ã¡ of human life is sad.
joy,I had a summer job in Sweden and my boyfriend came to meet me on Ã¡ my birthday.
fear,I went to practice in Sweden during summer and I was afraid that Ã¡ I would not do well.
anger,In the holiday cottage of our association two of my pals came to Ã¡ wake me up early one morning by bringing a radio played at the Ã¡ highest volume into my room - it was the morning service at its Ã¡ loudest.
sadness,My grandmother died suddenly last summer.
joy,I was told quite unexpectedly that one wanted me to become the Ã¡ vice-chairman of our student organisation.  I was really Ã¡ surprised and joy was the first emotion I felt though behind it Ã¡ there was worry - how shall I succeed ?
fear,Our tutorial group was soon to be divided and we got a list of Ã¡ names of freshmen out of which five were to be in my group.  We Ã¡ read the names and then each group went its own way to a seminar Ã¡ room.  I wondered how I would cope with the new situation and if Ã¡ I would succeed as a group leader.
anger,We were in a disco and the evening was not at all pleasant.  Ã¡ Despite my not knowing why I was angry with my companion.  I let Ã¡ him feel my bad humour as I cannot hide my feelings.
sadness,My grandmother died and my mother called me one sunday morning Ã¡ in the Autumn.  The way my mother told me about it I hated her Ã¡ at that moment.  She sounded as if she had been waiting for the Ã¡ death of my grandmother.  I had lost a person close to me.  I Ã¡ felt guilty too as I had been bad to my grandmother of late.  I had not Ã¡ remained calm when she no longer understood everything so well.
joy,"Last night I had a chat with a fellow student.  I had known her Ã¡ for about half a year and for the first time we were speaking Ã¡ \\the same language\\""- meaning an inspiring discussion and Ã¡"
anger,I sometimes quarrel with my mother because she blames me Ã¡ though I have not in any way been connected to some events.
sadness,After hearing about the death of my grandfather.  First I could Ã¡ not believe it but later I wept and felt the situation was Ã¡ hopeless.  I felt lonely and wanted to be consolated.
joy,I met a dear friend of mine after a long time.  I expressed my feelings Ã¡ in our own usual way by mutual scolding and abusing (with Ã¡ complete understanding) and by touching patting and taking the Ã¡ hand of the other person etc...
fear,I felt fear of the purest kind after a car accident.  The Ã¡ incident and images of horror kept coming back to my mind.  I Ã¡ wondered what could have happened to my sister my friend and me Ã¡ though nothing very serious actually happened.
anger,Two boys whom I know were telling me in an indecent manner how Ã¡ they had teased a young and shy girl I know.  They had despised Ã¡ her conviction scorned and touched her.  I got very angry and Ã¡ did not try to conceal it and gave it back to them.
sadness,My sweetheart left me or rather we decided to break it off by Ã¡ mutual consent.  The consequences were - unrestrained weeping Ã¡ feelings of loneliness hopelessness and disconsolation.  I felt Ã¡ that I should find a friend to talk to joyfully and to forget.
joy,When I won a tennis match.
fear,When my dog ran out on thin ice last spring.
anger,When my tennis match was interrupted because a kid cycled right Ã¡ into the court.
joy,Celebrations on the graduation day with the orchestra playing in Ã¡ the garden ( I am a part of this orchestra).
fear,Risk of being involved in a fight after a party.
anger,"I had a very heavy work load and two colleagues whom I have Ã¡ nothing against disturbed me by \\terror ringing\\"" i.e Ã¡"
sadness,After an exam which I failed.
joy,When I met an old schhol friend (school love) who works in Ã¡ Sk+vde.
fear,When I was cycling to school I nearly got knocked down by a car Ã¡ which (overtook me too closely) did not give me any swerving space.
anger,When I was deputy manager during the Summer certain deputies Ã¡ took liberties more than what was normal.
sadness,When I realized that my girlfriend whom I like and I were going Ã¡ to separate.
joy,Passed the last exam.
fear,Was nearly knocked down by a car.
anger,I reached the bus stop and realized that I had forgotten my bus Ã¡ pass.
sadness,My current work load is too much.  The feeling comes back from Ã¡ time to time.
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
joy,"An ex-colleague asked me if I was interested in working in their Ã¡ accounts bureau.  They needed \\clever people\\"" and he had Ã¡"
fear,I was driving and a deer suddenly appeared in front of the Ã¡ car when there was a lot of traffic behind me.
anger,I saw a report on T.V news on apartheid in South Africa.
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
sadness,Long illness.
joy,When I passed an exam.
fear,When I was travelling by tram I tripped and fell against the Ã¡ door.  I thought that I was going to fall out.
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
joy,I worked at a lawyer's office during Summer and I got a very Ã¡ good reference from him.
fear,I had been watching a triller a dark night in the country and I Ã¡ had to go the outside toilet on my own.
anger,When I am accused of something I have not done I get unbelievably Ã¡ angry.
sadness,When I began to read a thick book which I had a limited time to Ã¡ read.  Also when I have a lot of work to do and I cannot keep up.
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
joy,I stopped working (had a boring job).
fear,I was going home by car late one night when it was cold dark and Ã¡ windy.  I became rather panicky on the way to my house.
anger,Quarrel in the family.
sadness,When I am alone in a room with no contact with anyone - Ã¡ loneliness drains me.
joy,When I get a hug from someone I love.
fear,I was driving very fast on a small road and I met an oncoming car Ã¡ in a right handed bend.  The other driver was on his own side of Ã¡ the road and I had to skid out of it to avoid a collision.  It Ã¡ was dark.
anger,My car had been towed away by the traffic police because it had Ã¡ been wrongly parked.  However the sign had been put up only after Ã¡ I had already parked.
sadness,After an operation I had to stay in bed for a long time.
joy,When I won an unexpected sum of money.
fear,My 2 year old daughter disappeared in a moment of inattention; I Ã¡ was responsible for her.
anger,A colleague asked me for some advice and as he did not have Ã¡ enough confidence in me he asked a third person.
sadness,I wanted to be pregnant and did not succeed so I was depressed    Ã¡ at every menstruation.
joy,When I was at a party I met an old friend from an adult Ã¡ education course.  We had not met for 2 years but had both thought Ã¡ a lot about each other.  A wonderful experience.Ã¡
fear,When I was cycling through the park late one night two people Ã¡ jumped out of the woods and tried to stop me.  There were Ã¡ shouting something at the same time.
anger,When close relatives tried to dissuade me from studying Ã¡ Psychology because of its low status.
sadness,I had a long discussion on politics with an acquaintance.  He Ã¡ was more knowledgeable than me and I failed to explain my point Ã¡ of view and was misunderstood so I felt depressed and left.
joy,When I recently got an appartment in central Gottenburg.
fear,When I saw a large spider crawling up the wall.
anger,My employer took too many aspirins for a bad back and also drank Ã¡ an enormous amount of spirit.  This was dangerous  and he did Ã¡ not understand that he had done anything wrong.
sadness,When I left New York and all my family and my friends behind me.
joy,When my son returned from mountaineering - healthy in body and Ã¡ soul.
fear,When one meets new people with whom one is forced to collaborate Ã¡ with.
anger,The sports fishermen who catch gulls instead of fish with their hooks. Ã¡   It is often a mistake but it makes me angry.
sadness,I feel sad about an event I can not influence.
joy,When I was informed that I had been accepted as a student of Ã¡ Psychology.
fear,When I was in a little fishing boat and we ran into hard weather Ã¡ in the open sea.
anger,When I found out that the guy I was dating at a particular time Ã¡ had a steady relationship going on with someone else for a long Ã¡ time.
sadness,I felt sad and depressed when I heard that our cat had died.
joy,When I was acceptted as a student of psychology.
fear,When my son has a pain in his leg (for no apparent reason).
anger,When after a week at school a teacher sent a note home saying Ã¡ that my son was inattentive and unable to do his lessons.
sadness,When I thought that it was going to be impossible for me to start Ã¡ studying (due to wrong information from the student advisor).
joy,When my son was born.
fear,When I nearly drowned in icy water wearing ice skates.  It was Ã¡ difficult to get out.
anger,When I was pointed out as a problem child in primary school and Ã¡ my mother took the teacher's point of view.
sadness,When I was accused of neglecting work for the wrong reasons.
joy,"When after 10 months of national service I was \\downgraded\\"" and Ã¡"
fear,When I was reprimanded by the manager of the hotel where I Ã¡ worked during Autumn 1984.
anger,When my parents drove me to a nearby place and went home Ã¡ immediately instead of waiting a few hours.  They could have Ã¡ easily waited.
sadness,When my ex-girlfriend and I discovered that there was a certain risk Ã¡ of her being pregnant.
joy,When my older sister told us that she was thinking of joining the Ã¡ rest of the family for the winter sports holiday.
fear,Slept in a chapel and in the middle of the night I realized that Ã¡ there was someeone else in the chapel.  I never discovered who Ã¡ it was and why he was there.
anger,When we were in high school a few guys sometimes provoked a Ã¡ friend of mine.  They called her a pig and then grunted.  This Ã¡ irritated most of the girls.  Once one of the girls got angry at Ã¡ my friend and said something nasty and this made me terribly Ã¡ angry.
sadness,I talked to my boyfriend on the phone when I was in high spirits Ã¡ and had a lot to tell him.  I had been looking forward to this Ã¡ conversation and he did not listen to me to the extent that I Ã¡ had anticipated.
joy,When I got through the first day here at the department.
fear,When I was cycling past a parked car someone opened the door and Ã¡ nearly pushed me off my bike and into the traffic.
anger,When my boyfriend sat up half the night playing computer games Ã¡ with a friend.
sadness,When I had to leave my mother and my sister after a week's visit.
joy,When i was asked to be a child's godmother.
fear,On the way down a ski slope which was difficult and steep.
anger,When my mother interfered in my life.
sadness,When I was left alone one week-end without being prepared for Ã¡ it.
joy,When my husband suddenly came to see me at my new job and Ã¡ brought some flowers and cake with him.
fear,When I was nearly attackad by a man who had been chasing me.
anger,When my father asked me if I was a communist at the same time he Ã¡ made it clear that I should no longer see myself as his daughter.
sadness,When I applied for a job which I thought I had a good chance of Ã¡ getting I was not even granted an interview and did not get the Ã¡ job.
joy,When we were able to afford a new sofa - a leather one which cost Ã¡ SEK 20000.  I had waited for it for 2-3 years.
fear,Vertigo - standing on a ladder and painting the house.
anger,When my boss enrolled in a course to satisfy his own ends - to Ã¡ trample on his associates.  I have the misfortune to have one of Ã¡ my superiors in my course.
sadness,When I argue with my mother about the way she treats her two Ã¡ children differently.
joy,"When I recently managed to get my first consulting assignment Ã¡ \\myself\\"" i.e on my own initiative."""
fear,I was within a hair's breadth of knocking down a drunkard who Ã¡ suddenly ran into the street.  The fear came later when I     Ã¡ realized what could have happened.
anger,When my friend as usual forgot the tickets at home for a Ã¡ performance.  We missed it.
sadness,The elections of 1982 and 1985.  The thought of what a social Ã¡ democrat and communist majority could achieve especially \\worker Ã¡
joy,When I was appointed to position of trust in a group set up to Ã¡ change the working environment.
fear,I was alone in a cottage I often stay in.  I was woken up by a Ã¡ rustling sound in the middle of the night.
anger,When I tried to explain to a plumber face to face that the Ã¡ toilet was broken and he did not believe it (it had been mended Ã¡ ten times).
sadness,When the result of a project work was treated nonchalantly Ã¡ intead of being criticized by the teacher.
joy,After my girl and I talked things over our relationship changed Ã¡ and became positive.  A diificult time turned into pleasant one.
fear,When we could not land our plane and we knew that the fuel was Ã¡ running out.  Bad weather had already frightened us.
anger,When I read about Reagan's tactical decision concerning the Ã¡ South African boycott.
sadness,When my half brother became seriously ill with cancer and died Ã¡ later.
joy,When I was offered a high position of trust which I later Ã¡ accepted.
fear,I had the window open and the door was shut so that the kitten Ã¡ would not go out.  My partner came in and started talking about Ã¡ something and I forgot about the window and suddenly I saw the Ã¡ kitten hanging from the window frame. I was rigid with fright Ã¡ till I got hold of her.
anger,Some noisy guests arrived at the hotel.  I had been slightly Ã¡ irritated earlier.  At night when I was trying to sleep they were Ã¡ having a party so I went and yelled at them.  I wanted to sleep Ã¡ as I had to get up early the next day.
sadness,When I was told that I had not been successful in getting the job I Ã¡ had been expecting.  I was sure that I was sufficiently Ã¡ qualified.
joy,Cycling in the spring sunshine gives me such delight.  Ã¡ Happiness is to be healthy my wonderful finance.  Simply being Ã¡ here on earth.
fear,When my relationship with my family is very poor I often fear Ã¡ being excluded from the group a fear which is stronger in Ã¡ situations when an argument is on hand.
anger,Recently when my sister who is four years younger than me and Ã¡ very spoiled shouted at my mother for no apparent reason .  The Ã¡ heart-broken expression on my mother's face made me feel very Ã¡ angry.
sadness,"When I watched the T.V programme called \\The living planet\\"" and Ã¡"
joy,On a boat trip to Denmark 14 of us had a lot of fun and we Ã¡ spent SEK 10 each on one armed bandits and against all odds we Ã¡ won the jackpot of SEK 1000.
fear,A rainy day I was cycling downhill and a car door suddenly Ã¡ opened and while trying to avoid it the back wheels of my bike Ã¡ got caught in the tram tracks.  I somersaulted but had no Ã¡ injuries.
anger,On the way home from Marstrand I was driving behind my father's Ã¡ car.  Another car tried to push in front of my father and he was Ã¡ forced to swerve and he thus collided the car with a pillar.  The Ã¡ other car drove off without even seeing what had happened.
sadness,My girlfriend who had spent 6 months abroad broke off our Ã¡ relationship by letter.
joy,When I was at the end-of-term party last week and had fun - was Ã¡ happy and sang and drank only soft drinks.  It is possible to Ã¡ have a good time without alcohol.
fear,Last Summer I was walking along the beach in a bikini and an Ã¡ awful man came cycling after me.  He was shouting and I ran as Ã¡ fast as my legs could carry me.
anger,In a course I thought that I deserved good marks but I only got Ã¡ ordinary marks with no justification as to why I was given these Ã¡ marks.
sadness,When I crashed my car and it had to be scrapped then.  It was my Ã¡ fault and I feel depressed as I miss the car.
joy,When I felt that my love was returned.
fear,When I was convinced that someonne had broken into my flat and I Ã¡ woke up and heard sounds that frightened me.
anger,When it became clear that a man had used many people sexually Ã¡ and psychologically despite the fact that many people looked up Ã¡ to him.  I understood that one could not trust him and I was Ã¡ forced to hide this for a while.
sadness,When I feel helpless after having tried to help someone without Ã¡ any result.
joy,When I recently got a very positive answer from a clinic telling Ã¡ me that they would willingly assist and collect data for me for a Ã¡ clinical pilot study.
fear,Every time I meet a certain dog that has once bitten me.
anger,When after a lot of provocation my child threw a plate on the Ã¡ floor.
sadness,When I realized that I could not communicate properly with my Ã¡ closest friend.
joy,When I began dansing the teacher came and told me that I was Ã¡ very good and would soon get into the ballet academy.
fear,A late Saturday night I found myself locked in the central Ã¡ underground station of Stockholm with a group of 50 hard rockers Ã¡ who were drunk and equipped with various kinds of chains etc.
anger,When I was forced to call the telephone company about a bill Ã¡ concerning a disconnected phone belonging to my landlord.  The Ã¡ bill was four months overdue and in the meanwhile he had been Ã¡ using my phone he seemed to have no intention of having his own Ã¡ phone reconnected.
sadness,Whenever I read or think about the way people treat animals and Ã¡ nature.
joy,When my 6 month old son is happy and well.
fear,A four year girl ran away from her father straight in front of my Ã¡ car.  I was forced to use the emergency brakes.
anger,After an examine I had been satisfied with.
sadness,When a colleague failed to contact me at the arranged time.
joy,When I gave birth to a healthy boy.
fear,When my husband and I spent a night by ourselves in a house which Ã¡ was in an area on the outskirts of a large town with which we were  Ã¡ not familiar.  We  heard strange noises outside the house and the  Ã¡ house had glass walls so the whole thing was even more Ã¡ frightening.
anger,Jealous of my husband's old girlfriend.  We met her with her Ã¡ husband and there was a lot of reminiscing.
sadness,When my daughter had problems with her friends and I could see Ã¡ her predicament from the window.  She was given a the cold Ã¡ shoulder.
joy,When my husband and I decided to take a few days holiday after a Ã¡ particularly trying period.
fear,Before a hospital visit prior to a D&C under anasthesia for an Ã¡ expected miscarriage.
anger,Exchange of points of view with my sister on a family matter.
sadness,Treatment to become pregnant with a negative result.
joy,When I gave birth to a child and saw that it was normal when it Ã¡ was put against my breast.
fear,During labour when the foetal sounds became faint and there was a Ã¡ big alert for a forceps delivery.
anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper Ã¡ at a reduced price.  After queuing with screaming children; it Ã¡ turned out that I had taken two 8 roll packets instead of the one Ã¡ 16 roll packet to which the rebate applied.  The assistant said Ã¡ \\You will have to get it another time.\\"""""
sadness,When I first heard that Tage Dannielsson had died.
joy,The high school entrance exam.
fear,"A gang of screaming and drunk youths \\captured\\"" a tram."""
anger,An unjust refree decision at a sports event when I was the team Ã¡ leader.
sadness,When my girlfriend left me.
joy,Yesterday when the final whistle blew at the final match between Ã¡ OIS and IFK and it was certain that OIS had won the Swedish Ã¡ title.
fear,I was teaching someone to drive and when we were about to crash I Ã¡ was scared.
anger,A drummer who had borrowed my drums destroyed both the drumskin Ã¡ and the sticks.  He did not repair them nor did he tell me about Ã¡ it.
sadness,When my dad gives priority to my kid brother's band and his Ã¡ other activities.  We both play in different bands and rehearse Ã¡ in my parents garage.
joy,When I dived among sharks and the brightly coloured fish on the Ã¡ outer reef of Tvavni Fidgi.
fear,When I missed crashing by a hair's breadth into a man who came Ã¡ out 20 metres ahead of me when I was driving at 110km/h.
anger,When I told off a computer teacher who did not want to teach me Ã¡ beacause of prejudice.
sadness,When I could not do anything because of a bad back.
joy,When I passed the driving test three weeks ago and got my Ã¡ licence.
fear,When the car I was driving skidded on an icy road and landed in   Ã¡ a ditch with one side against a rock.
joy,When I met friends I had not seen for the last 2-4 years.
fear,When a guy chased me when I was out jogging.
sadness,No reponse.
anger,When the morning newspaper has not arrived.
joy,I feel unbelievably happy about the relationship between my Ã¡ boyfriend and me it is a reoccurring feeling.
fear,A reoccurring fear that something will happen to my relatives.
anger,When I argue with my boyfriend I feel as though he feels Ã¡ superior to me.
sadness,When I failed an exam last Summer.  I had worked very hard for it Ã¡ and I was very disappointed thinking that it was hopeless to Ã¡ continue at college.  I did overreact.
joy,I was very happy when I got an attractive Summer job.
joy,The birth of my child.
fear,When I have to leave the baby in the carriage and go shopping I Ã¡ fear that something will happen to the baby.
anger,When during Winter the water pipes froze and we did not have any Ã¡ water for two days.
sadness,I did not quite succeed in breast feeding my baby.
joy,During the Christmas holidays I met some of my old friends Ã¡ after not having seen them for six months.
fear,We were driving a car of a friend of mine when we turned in the Ã¡ wrong direction towards an unknown district and nearly drove Ã¡ down a precipice.
anger,When our religion teacher presented shocking sectarian thoughts Ã¡ and doom's day as official teaching.
sadness,My grandfather died when I was an exchange student in the USA.
joy,In the underground's escalator a youngish bum asked me for Ã¡ money.  Although I did not give him anything the fellow told me Ã¡ that I was really good-looking.  A man who was in front of me Ã¡ also turned to look at me.
fear,I was afraid of moving away from home and moving to Helsinki for Ã¡ my studies.
anger,In the student kitchen that we share somebody drank from my Ã¡ juice pot (one litre) so that I only got one glass out of the Ã¡ whole pot.
sadness,My father gave money to my brother but not to me.
fear,At about nine p.m. I went home by bike on a dark cycle-track; Ã¡ because of lack of time I had to take the short-cut.
fear,Once I had to go home on foot at 5 a.m. I had to pass through a Ã¡ forest and I was going alone.
anger,I missed the train and had to wait for the next for two hours. Ã¡ For this reason I missed an appointment which had been very Ã¡ important for me.
sadness,When my grandmother died. I had lived with her for ten years.
joy,A person with whom I had been on bad terms gave me a present. We Ã¡ became reconciled.
fear,A friend's father had died I was to come and see this friend Ã¡ although I did not know his family.
anger,I was watching TV with a friend. After the first film I wanted to Ã¡ watch another film on the same channel. My friend switched over Ã¡ to the other cannel without asking me what I wanted.
sadness,My boy-friend an I seperated on his initiative.
joy,After having considered it for hours I was able to overcome my Ã¡ scruples and to call a friend with whom I had fallen in love. I Ã¡ realized that my decision was right - and was very glad.
fear,After having slept for a short time I woke up - I had the feeling Ã¡ of someone standing beside me and was very frightened. I had to Ã¡ turn on the light turn on the light for several minutes before I Ã¡ was able to get to sleep again.
anger,I moved to a flat. A friend who had lived there before had left Ã¡ the flat in a terrible mess. I was very angry about that Ã¡ sloppiness and impudence.
sadness,My father had a complicated operation. A long time before and Ã¡ also a long time after that we did not know how he would get Ã¡ over it. During all that time I felt very sad.
joy,In summer when I was sailing with friends in Greece I felt joy.
fear,I was riding with a friend in his car. At a speed of 120 km/h on Ã¡ the snow-covered motorway I would have liked to get out.
joy,Walking along the beach with a friend (another girl) talking Ã¡ picking up shells laughing chasing seagulls.
fear,Climbing a mountain to see a view towards the top we suddenly Ã¡ came across a ledge with a nearly sheer drop on either side Ã¡ which I had to cross.
anger,A friend suggested in a round-about way that the reason we were Ã¡ late for something was because of me and that I'm often late. I Ã¡ know this was partly true but felt it unjustified that Ã¡ particular time and I felt I couldn't do  anything about it Ã¡ anyway (i.e. being late).
sadness,Talking to a very good friend who had just had a very bad Ã¡ experience which was changing his whole way of looking at life Ã¡ etc.
joy,On meeting an old friend of mine.
fear,When my brother was very late in arriving home from work.
anger,During a fight with my best friend.
sadness,When my dog died.
joy,When I realised that I was forgiven by the God who is there when Ã¡ I realised how much God loves me and that my acceptance with him Ã¡ is not based on my performance - that he loves me unconditionally Ã¡ and showed that love in Christ who died because I do need Ã¡ forgiveness.
